IDAgenda,Date,Hour,Duration,ClientName
353,1/6/2017,27,9.97,Albie
354,9/17/2016,61,4.75,Quintin
355,2/2/2017,53,21.38,Vincents
356,9/26/2016,37,64.64,Megan
357,1/16/2017,9,69.84,Gill
358,7/20/2017,17,78.8,Keenan
359,8/23/2017,22,23.63,Kipp
360,10/16/2016,90,21.44,Ilyse
361,3/9/2017,85,56.63,Merlina
362,6/8/2017,76,67.17,Theo
363,5/30/2017,39,76.43,Xenia
364,1/13/2017,16,47.56,Cart
365,6/22/2017,60,96.03,Myles
366,8/6/2017,52,20.39,August
367,10/17/2016,97,99.77,Cairistiona
368,4/14/2017,99,85.85,Evania
369,9/12/2016,26,20.01,Alic
370,1/26/2017,25,90.3,Sioux
371,5/10/2017,10,84.2,Julee
372,9/9/2016,75,39.43,Ludovico
373,1/14/2017,30,14.05,Justine
374,12/3/2016,53,12.9,Tibold
375,4/2/2017,28,31.74,Osmund
376,9/7/2016,62,15.39,Gilles
377,3/30/2017,33,30.96,Perry
378,7/15/2017,33,50.96,Cordie
379,3/6/2017,42,20.77,Rafaello
380,1/13/2017,45,8.71,Eben
381,4/23/2017,29,46.35,Kliment
382,12/24/2016,68,27.09,Corny
383,4/23/2017,4,23.95,Parnell
384,11/17/2016,15,6.48,Roi
385,5/13/2017,76,61.52,Garwin
386,5/10/2017,95,16.85,Phil
387,11/4/2016,54,77.64,Woodrow
388,6/24/2017,82,49.76,Delphine
389,5/14/2017,94,62.21,Graham
390,6/21/2017,84,85.39,Rhett
391,4/8/2017,46,83.73,Pietra
392,8/30/2017,49,17.85,Peder
393,1/11/2017,23,34.02,Stephenie
394,4/18/2017,93,91.22,Buffy
395,3/12/2017,52,65.61,Millisent
396,9/19/2016,82,80.89,Abbot
397,7/6/2017,94,18.31,Della
398,1/4/2017,52,26.3,Felicio
399,9/21/2016,19,49.52,Brice
400,11/23/2016,28,53.64,Chantalle
401,11/5/2016,20,94.41,Sallee
402,2/25/2017,68,73.51,Xena
403,7/22/2017,53,86.08,Kessia
404,1/7/2017,67,68.82,Zena
405,12/19/2016,3,81.81,Eberto
406,3/15/2017,36,75.92,Michal
407,9/24/2016,22,68.01,Daren
408,8/20/2017,63,79.81,Warren
409,11/24/2016,3,20.19,Hugo
410,6/11/2017,26,47.89,Adam
411,5/17/2017,69,26.86,Lorenzo
412,9/1/2017,8,18.2,Estella
413,12/27/2016,7,84.86,Tabbie
414,6/10/2017,29,30.44,Robinet
415,6/14/2017,23,53.96,Dena
416,5/6/2017,36,95.44,Frederic
417,10/13/2016,31,80.94,Jerrilee
418,11/12/2016,14,47.0,Chas
419,4/17/2017,96,32.79,Dorita
420,12/29/2016,82,87.89,Karlie
421,10/21/2016,76,93.79,Noellyn
422,7/27/2017,70,26.2,Benoit
423,1/17/2017,50,62.41,Englebert
424,9/12/2016,11,21.5,Cornelle
425,9/28/2016,33,38.43,Derby
426,2/21/2017,53,32.85,Jerald
427,12/8/2016,17,48.7,Randell
428,5/18/2017,24,2.94,Tabby
429,7/22/2017,27,79.85,Kaia
430,8/11/2017,30,89.28,Jermaine
431,4/28/2017,19,61.48,Morlee
432,4/7/2017,96,49.99,Keven
433,11/2/2016,94,62.88,Chrissie
434,3/16/2017,79,44.28,Inger
435,10/5/2016,9,17.74,Karlyn
436,6/28/2017,93,30.68,Josepha
437,11/4/2016,11,14.57,Mordy
438,5/23/2017,73,48.23,Verna
439,4/1/2017,79,90.36,Sawyer
440,9/7/2016,34,3.26,Larry
441,7/26/2017,77,17.73,Cordelie
442,4/10/2017,74,66.36,Holly-anne
443,8/28/2017,43,32.88,Meridith
444,3/22/2017,64,22.8,Tybie
445,4/14/2017,46,45.1,Alida
446,9/12/2016,74,5.72,Codie
447,1/13/2017,28,79.87,Sapphire
448,7/10/2017,68,69.54,Orbadiah
449,6/17/2017,53,66.47,Tatiania
450,2/4/2017,54,85.92,Rene
451,5/15/2017,9,46.08,Julianna
452,10/25/2016,13,50.51,Tamiko
453,1/3/2017,8,33.83,Yoshiko
454,10/30/2016,78,94.48,Kenon
455,3/28/2017,53,75.49,Garrick
456,5/18/2017,98,6.49,Garner
457,5/26/2017,100,49.98,Anton
458,1/6/2017,84,37.71,Talya
459,2/4/2017,44,66.88,Cinderella
460,5/22/2017,80,96.13,Antonie
461,8/16/2017,97,9.78,Madlen
462,7/18/2017,68,71.56,Ham
463,1/28/2017,83,12.5,Cordey
464,12/10/2016,2,17.76,Rozella
465,7/4/2017,95,5.76,Hayyim
466,1/15/2017,67,87.06,Lilias
467,10/1/2016,48,95.19,Curt
468,7/24/2017,47,4.24,Neda
469,12/23/2016,56,43.19,Aggy
470,6/6/2017,46,35.43,Dan
471,9/18/2016,95,21.73,Mandi
472,12/2/2016,52,84.15,Britney
473,12/29/2016,18,53.7,Richmond
474,1/9/2017,31,11.72,Shannah
475,1/21/2017,85,15.94,Rosalyn
476,1/16/2017,73,29.28,Lira
477,11/7/2016,71,91.13,Cedric
478,5/4/2017,18,73.76,Dannie
479,3/17/2017,9,3.81,Dag
480,2/8/2017,26,47.89,Kira
481,1/19/2017,28,13.45,Aurilia
482,8/24/2017,77,67.14,Janine
483,1/20/2017,79,91.36,Salem
484,2/12/2017,94,27.74,Gayelord
485,8/3/2017,100,85.04,Gill
486,8/21/2017,13,16.94,Pooh
487,4/26/2017,100,18.51,Ailey
488,4/10/2017,2,60.06,Christin
489,9/7/2016,6,67.96,Ab
490,10/18/2016,67,73.46,Ibrahim
491,3/5/2017,90,95.91,Ariadne
492,9/1/2017,38,43.37,Aluin
493,1/27/2017,89,40.39,Vikky
494,5/3/2017,31,70.28,Sibyl
495,4/15/2017,25,66.16,Gilda
496,2/12/2017,94,37.64,Gretal
497,8/26/2017,71,79.52,Dionne
498,10/23/2016,74,12.05,Eada
499,11/25/2016,26,71.46,Christabella
500,12/12/2016,89,17.88,Riane
501,9/28/2016,22,32.9,Glynnis
502,7/27/2017,87,40.02,Akim
503,1/26/2017,60,3.66,Shem
504,10/8/2016,12,13.48,Jerrie
505,7/24/2017,65,58.55,Neile
506,3/21/2017,100,91.48,Lauren
507,8/3/2017,23,1.57,Godiva
508,12/27/2016,51,14.79,Jemima
509,10/18/2016,15,76.53,Tades
510,7/6/2017,32,35.36,Hyacinthe
511,7/13/2017,3,37.52,Graham
512,8/28/2017,98,16.95,Nate
513,10/19/2016,33,47.98,Marianne
514,6/5/2017,59,9.54,Jaime
515,4/25/2017,96,72.54,Jaime
516,3/29/2017,59,49.44,Merrick
517,8/8/2017,5,22.92,Allyn
518,11/29/2016,68,6.79,Myrah
519,12/17/2016,89,17.27,Tristam
520,12/7/2016,57,2.31,Marissa
521,11/8/2016,28,95.4,Ilysa
522,11/8/2016,10,53.0,Nari
523,8/22/2017,19,62.67,Flossi
524,3/7/2017,72,38.28,Jo-anne
525,9/2/2017,86,11.52,Willie
526,5/20/2017,76,78.18,Marlie
527,6/17/2017,90,70.82,Wake
528,4/27/2017,59,21.58,Brenn
529,6/6/2017,75,20.12,Teresita
530,9/2/2017,16,83.89,Dita
531,5/15/2017,54,27.59,Reuven
532,7/16/2017,25,71.8,Barb
533,10/18/2016,94,17.23,Saunder
534,5/27/2017,10,74.65,Jaynell
535,6/11/2017,98,98.98,Dagmar
536,6/11/2017,73,82.47,Reginald
537,11/26/2016,61,36.52,Sonja
538,1/10/2017,95,99.72,Noah
539,5/10/2017,52,54.15,Mair
540,6/11/2017,7,58.78,Emilia
541,7/23/2017,14,92.29,Vickie
542,7/21/2017,95,25.65,Laurianne
543,8/25/2017,68,49.23,Georas
544,7/27/2017,79,89.68,Starlene
545,12/10/2016,52,66.74,Kevan
546,9/1/2017,66,75.04,Marvin
547,12/19/2016,29,72.98,Mead
548,7/24/2017,61,53.24,Spike
549,6/30/2017,27,30.03,Lilly
550,4/29/2017,87,80.25,Carter
551,5/4/2017,23,65.11,Lilas
552,1/15/2017,26,62.84,Courtnay
553,10/3/2016,92,52.18,Louise
554,7/11/2017,74,65.53,Tabbie
555,8/21/2017,46,11.12,Vivie
556,11/29/2016,98,61.17,Kelcie
557,7/18/2017,63,70.62,Cecil
558,7/11/2017,72,76.35,Aurelia
559,12/31/2016,70,74.77,Hamil
560,1/28/2017,46,5.96,Niki
561,4/3/2017,67,1.05,Ethyl
562,4/28/2017,39,21.72,Dunn
563,2/3/2017,71,12.4,Salli
564,3/24/2017,30,74.5,Kenon
565,9/7/2016,44,83.41,Shari
566,2/24/2017,38,57.58,Susie
567,5/16/2017,61,56.84,Symon
568,5/18/2017,36,35.44,Nevsa
569,11/12/2016,4,67.51,Marchall
570,7/24/2017,40,70.21,Emory
571,1/20/2017,42,50.89,Clarita
572,5/9/2017,52,48.92,Demetre
573,12/18/2016,67,71.9,Domenico
574,4/30/2017,85,47.61,Adelind
575,6/17/2017,44,39.74,Rey
576,5/23/2017,31,52.6,Zach
577,5/18/2017,13,48.38,Dorothy
578,12/8/2016,22,69.78,Tera
579,1/21/2017,6,50.38,Bunni
580,12/3/2016,62,26.06,Harley
581,3/31/2017,15,64.92,Jed
582,3/25/2017,46,6.37,Vittoria
583,3/15/2017,81,41.36,Dorothy
584,4/11/2017,45,12.84,Kyrstin
585,4/3/2017,79,41.07,Alie
586,10/4/2016,12,39.82,Flo
587,7/8/2017,50,9.13,Dreddy
588,9/2/2017,93,24.41,Mechelle
589,9/18/2016,66,44.91,Elmore
590,6/3/2017,97,10.89,Jud
591,8/9/2017,86,9.4,Nelli
592,9/17/2016,23,5.26,Dorita
593,8/23/2017,76,57.36,Winnie
594,11/15/2016,3,60.97,Thornton
595,10/3/2016,100,51.43,Maryanna
596,7/29/2017,19,6.64,Rosalynd
597,6/20/2017,83,12.72,Valaria
598,4/24/2017,64,95.7,Donal
599,2/6/2017,61,88.6,Katy
600,7/5/2017,25,87.7,Torey
601,9/25/2016,74,65.12,Moise
602,3/17/2017,11,63.29,Tildie
603,1/17/2017,37,26.62,Delmar
604,4/20/2017,86,6.6,Geraldine
605,11/19/2016,57,58.49,Natalee
606,9/25/2016,68,49.93,Dorie
607,8/25/2017,52,30.59,Farly
608,10/27/2016,35,23.89,Gladi
609,1/27/2017,85,97.53,Alessandra
610,3/17/2017,33,27.11,Tobie
611,10/22/2016,88,20.99,Guillaume
612,5/12/2017,24,27.12,Egor
613,3/13/2017,81,38.28,Shay
614,9/7/2016,92,64.88,Hort
615,8/14/2017,41,42.51,Munmro
616,6/22/2017,13,35.76,Bunny
617,1/4/2017,80,17.14,Augusta
618,7/8/2017,93,4.83,Verine
619,4/14/2017,47,75.76,Minne
620,5/29/2017,38,13.3,Dulcie
621,8/15/2017,9,23.04,Kim
622,12/22/2016,11,93.23,Marylinda
623,4/7/2017,92,45.86,Layney
624,4/30/2017,72,35.54,Teodoro
625,5/4/2017,75,10.42,Levon
626,4/12/2017,45,83.24,Sanson
627,7/23/2017,69,98.9,Jonis
628,4/2/2017,77,41.85,Marin
629,9/30/2016,37,21.21,Saleem
630,7/27/2017,81,31.4,Em
631,10/10/2016,74,92.96,Daveta
632,8/31/2017,78,23.27,Somerset
633,2/6/2017,91,6.3,Erhart
634,10/9/2016,6,70.13,Carlye
635,9/27/2016,95,71.95,Patsy
636,3/31/2017,50,78.21,Cybil
637,6/9/2017,83,48.79,Stephi
638,8/18/2017,37,45.35,Free
639,4/8/2017,78,46.57,Talya
640,5/19/2017,13,90.33,Kerri
641,3/27/2017,61,66.03,Sharona
642,1/15/2017,52,62.3,Sibley
643,6/15/2017,29,80.07,Minor
644,5/4/2017,49,75.58,Catha
645,5/4/2017,26,28.18,Mabel
646,1/29/2017,35,30.11,Anastasia
647,9/27/2016,20,76.19,Helsa
648,5/11/2017,64,94.58,Madalena
649,6/4/2017,95,3.46,Robbyn
650,11/17/2016,63,72.5,Felicio
651,7/17/2017,83,58.46,Muffin
652,8/2/2017,17,46.55,Josey
653,4/18/2017,99,40.61,Zaccaria
654,7/9/2017,70,14.29,Arlyne
655,1/10/2017,98,66.12,Marlin
656,6/13/2017,40,95.87,Siffre
657,2/13/2017,20,41.43,Otto
658,3/14/2017,38,64.39,Cheri
659,5/14/2017,56,93.68,Lexi
660,11/11/2016,51,79.59,Guenevere
661,10/23/2016,94,33.43,Dionis
662,3/9/2017,68,75.36,Kirbee
663,12/23/2016,75,85.84,Thaine
664,5/27/2017,55,13.4,Spenser
665,7/22/2017,80,78.58,Dud
666,7/6/2017,58,88.54,Hercule
667,8/8/2017,28,17.63,Alyosha
668,3/6/2017,5,33.61,Benedetta
669,1/1/2017,56,70.25,Melita
670,11/28/2016,51,34.79,Tirrell
671,2/26/2017,24,47.83,Denny
672,1/20/2017,39,30.93,Lucine
673,6/2/2017,10,4.88,Enrica
674,8/19/2017,54,18.74,Marilee
675,1/28/2017,72,84.28,Ricky
676,8/14/2017,30,76.35,Mahalia
677,6/6/2017,13,41.29,Kora
678,7/27/2017,42,4.93,Alyss
679,2/10/2017,11,65.9,Hobard
680,4/8/2017,40,99.26,Edouard
681,9/14/2016,74,97.1,Rosaleen
682,11/5/2016,53,78.83,Helene
683,3/9/2017,76,9.68,Dorella
684,6/1/2017,29,27.2,Ludovico
685,1/25/2017,82,9.35,Archaimbaud
686,10/8/2016,69,1.3,Dionysus
687,8/25/2017,20,16.09,Mikel
688,12/15/2016,23,45.21,Ursuline
689,1/12/2017,48,55.91,Gunar
690,6/22/2017,84,33.92,Jeannie
691,5/15/2017,100,28.53,Wilt
692,12/21/2016,1,53.14,Keriann
693,10/12/2016,2,86.74,Parke
694,11/23/2016,31,6.71,Catlin
695,6/13/2017,51,57.87,Sigismond
696,4/1/2017,76,58.32,Lotte
697,8/24/2017,2,89.46,Ingmar
698,3/15/2017,41,82.43,Corri
699,5/17/2017,45,63.09,Wendy
700,8/10/2017,24,98.0,Licha
701,11/9/2016,52,9.76,Jarad
